"person_id","household_id","year_born","sex","employed","retired","education","net_income","gross_income"
17702,177,1966,1,1,0,0,20104.1,25271.4
17703,177,1963,2,0,0,0,0,0
17704,177,2006,2,0,0,NA,NA,NA
17705,177,2007,1,0,0,NA,NA,NA
17801,178,1983,2,1,0,344,9086.6,10130.3
17802,178,1979,1,1,0,300,3227.2,3524.8
17901,179,1981,1,1,0,100,5597.5,6106.1
17902,179,1985,2,0,0,200,0,0
17903,179,2009,2,0,0,NA,NA,NA
17904,179,2012,1,0,0,NA,NA,NA
17905,179,2014,1,0,0,NA,NA,NA
17906,179,1990,1,0,0,0,0,0
18001,180,1974,1,1,0,200,20844.9,26440.8
18101,181,1997,1,0,0,500,0,0
18102,181,2000,1,0,0,200,0,0
18103,181,2005,2,0,0,NA,NA,NA
18104,181,1968,2,1,0,200,1685.6,1799
18105,181,1967,1,1,0,200,12346.2,13508.1
18301,183,1963,1,1,0,100,0,0
18302,183,1963,2,0,0,100,0,0
18401,184,1939,2,0,1,200,0,0
18501,185,1955,1,0,1,500,0,0
18601,186,1955,1,1,0,500,11390.16,12854.65
18701,187,1959,1,1,0,100,0,0
18702,187,1973,1,1,0,100,0,0
18703,187,1975,2,1,0,100,0,0
18704,187,1997,2,0,0,200,0,0
18705,187,2005,2,0,0,NA,NA,NA
18801,188,1942,2,0,0,100,0,0
18901,189,1958,2,0,0,100,0,0
18902,189,1980,1,1,0,200,11584.3,12729.9
19001,190,1951,1,0,1,100,0,0
19002,190,1966,2,1,0,100,9999.3,11028.2
19101,191,1962,1,0,0,100,0,0
19102,191,1932,1,0,1,0,0,0
19201,192,1939,1,0,0,100,0,0
19202,192,1947,2,0,1,100,0,0
19301,193,1979,1,1,0,300,12383.6,16723.9
19302,193,1980,2,0,0,200,0,0
19303,193,2012,1,0,0,NA,NA,NA
19304,193,2016,2,0,0,NA,NA,NA
19401,194,1976,2,1,0,500,9469.8,10712.5
19402,194,1976,1,1,0,300,14525.3,17018.4
19403,194,2006,2,0,0,NA,NA,NA
19404,194,2008,2,0,0,NA,NA,NA
19501,195,1978,1,0,0,300,11165.2,12118.9
19502,195,1980,2,1,0,200,14229.13,16642.47
19503,195,2018,1,0,0,NA,NA,NA
19601,196,1933,2,0,0,100,0,0
19602,196,1965,2,1,0,200,0,0
19603,196,1963,1,1,0,200,0,0
19701,197,1971,1,1,0,300,22156,26642.1
19702,197,1977,2,0,0,500,1923.8,2096
19703,197,2008,1,0,0,NA,NA,NA
19704,197,2013,2,0,0,NA,NA,NA
19801,198,1977,1,1,0,300,13447.7,14835.9
19802,198,1970,2,1,0,100,12730.7,13905.2
19901,199,1982,2,0,0,300,3611.9,4881.2
19902,199,1980,1,1,0,300,15076.8,16484.6
19903,199,2008,2,0,0,NA,NA,NA
19904,199,2012,1,0,0,NA,NA,NA
20001,200,1978,2,0,0,200,0,0
20002,200,1978,1,1,0,200,7336.2,8471.4
20003,200,2010,2,0,0,NA,NA,NA
20101,201,1964,1,0,0,100,0,0
20201,202,1970,2,0,0,300,0,0
20202,202,1977,1,1,0,500,17270.39,20005.62
20203,202,2008,1,0,0,NA,NA,NA
20204,202,2011,1,0,0,NA,NA,NA
20205,202,2007,1,0,0,NA,NA,NA
20301,203,1969,1,1,0,300,9418.2,10235.6
20302,203,1986,1,1,0,200,6465.5,7051.9
20401,204,1949,2,0,0,100,0,0
20402,204,1945,1,0,1,500,0,0
20501,205,1941,1,0,1,500,0,0
20502,205,1944,2,0,1,500,0,0
20701,207,1954,2,0,1,300,0,0
20801,208,1948,1,0,1,500,0,0
20802,208,1950,2,0,0,500,0,0
20901,209,1936,2,0,1,200,0,0
21001,210,1974,2,1,0,500,0,0
21002,210,1948,2,0,0,200,0,0
21003,210,1974,1,1,0,500,0,0
21004,210,2004,2,0,0,NA,NA,NA
21005,210,1996,1,0,0,344,0,0
21006,210,2004,2,0,0,NA,NA,NA
21101,211,1948,2,0,1,300,0,0
21102,211,1947,1,0,1,200,0,0
21301,213,1960,1,0,1,300,25637.4,33529
21302,213,1964,2,1,0,500,15209.3,18344.5
21303,213,1989,1,1,0,500,8032.7,8647.4
21304,213,1992,2,1,0,500,16513.5,20996.6
21401,214,1952,1,0,1,500,5001,6113.7
21402,214,1960,2,1,0,100,22622.7,36582.6
21403,214,1982,2,1,0,500,0,0
21404,214,1986,2,1,0,500,20514.1,26007.2
21405,214,2014,2,0,0,NA,NA,NA
21406,214,2016,1,0,0,NA,NA,NA
21501,215,1973,1,1,0,100,0,0
21502,215,1976,2,1,0,100,0,0
21503,215,2000,2,0,0,200,0,0
21504,215,2003,1,0,0,NA,NA,NA
21601,216,1943,2,0,1,100,0,0
21602,216,1942,1,0,1,100,0,0
